Continent,Measure1,Measure2,Correlation
Europe,Spirit Servings,Alcohol (Litres),0.54
Europe,Wine Servings,Alcohol (Litres),0.5
Europe,Alcohol (Litres),Alcohol (Litres),1
Europe,Happiness Score,Alcohol (Litres),0.25
Europe,Income,Happiness Score,0.56
Europe,Suicide,Happiness Score,0.05
Europe,Employment,Happiness Score,0.56
Europe,Urban Rate,Happiness Score,0.55
Europe,Beer Servings,Happiness Score,0.37
Europe,Spirit Servings,Happiness Score,-0.28
Europe,Wine Servings,Happiness Score,0.33
Europe,Alcohol (Litres),Happiness Score,0.25
Europe,Happiness Score,Happiness Score,1
North America,Income,Income,1
North America,Suicide,Income,0.19
North America,Employment,Income,0.56
North America,Urban Rate,Income,0.35
North America,Beer Servings,Income,0.45
North America,Spirit Servings,Income,-0.03
North America,Wine Servings,Income,0.82
North America,Alcohol (Litres),Income,0.41
North America,Happiness Score,Income,0.61
North America,Income,Suicide,0.19
North America,Suicide,Suicide,1
North America,Employment,Suicide,-0.11
North America,Urban Rate,Suicide,0
North America,Beer Servings,Suicide,0.31
North America,Spirit Servings,Suicide,-0.17
North America,Wine Servings,Suicide,0.07
North America,Alcohol (Litres),Suicide,0.07
North America,Happiness Score,Suicide,0.32
North America,Income,Employment,0.56
North America,Suicide,Employment,-0.11
North America,Employment,Employment,1
North America,Urban Rate,Employment,0
North America,Beer Servings,Employment,0.13
North America,Spirit Servings,Employment,0.02
North America,Wine Servings,Employment,0.55
North America,Alcohol (Litres),Employment,0.2
North America,Happiness Score,Employment,0.52
North America,Income,Urban Rate,0.35
North America,Suicide,Urban Rate,0
North America,Employment,Urban Rate,0
North America,Urban Rate,Urban Rate,1
North America,Beer Servings,Urban Rate,0.13
North America,Spirit Servings,Urban Rate,-0.36
North America,Wine Servings,Urban Rate,0.17
North America,Alcohol (Litres),Urban Rate,-0.15
North America,Happiness Score,Urban Rate,0.33
North America,Income,Beer Servings,0.45
North America,Suicide,Beer Servings,0.31
North America,Employment,Beer Servings,0.13
North America,Urban Rate,Beer Servings,0.13
North America,Beer Servings,Beer Servings,1
North America,Spirit Servings,Beer Servings,-0.07
North America,Wine Servings,Beer Servings,0.41
North America,Alcohol (Litres),Beer Servings,0.61
North America,Happiness Score,Beer Servings,0.62
North America,Income,Spirit Servings,-0.03
North America,Suicide,Spirit Servings,-0.17
North America,Employment,Spirit Servings,0.02
North America,Urban Rate,Spirit Servings,-0.36
North America,Beer Servings,Spirit Servings,-0.07
North America,Spirit Servings,Spirit Servings,1
North America,Wine Servings,Spirit Servings,0.22
North America,Alcohol (Litres),Spirit Servings,0.72
North America,Happiness Score,Spirit Servings,-0.29
North America,Income,Wine Servings,0.82
North America,Suicide,Wine Servings,0.07
North America,Employment,Wine Servings,0.55
North America,Urban Rate,Wine Servings,0.17
North America,Beer Servings,Wine Servings,0.41
North America,Spirit Servings,Wine Servings,0.22
North America,Wine Servings,Wine Servings,1
North America,Alcohol (Litres),Wine Servings,0.61
North America,Happiness Score,Wine Servings,0.54
North America,Income,Alcohol (Litres),0.41
North America,Suicide,Alcohol (Litres),0.07
North America,Employment,Alcohol (Litres),0.2
North America,Urban Rate,Alcohol (Litres),-0.15
North America,Beer Servings,Alcohol (Litres),0.61
North America,Spirit Servings,Alcohol (Litres),0.72
North America,Wine Servings,Alcohol (Litres),0.61
North America,Alcohol (Litres),Alcohol (Litres),1
North America,Happiness Score,Alcohol (Litres),0.27
North America,Income,Happiness Score,0.61
North America,Suicide,Happiness Score,0.32
North America,Employment,Happiness Score,0.52
North America,Urban Rate,Happiness Score,0.33
North America,Beer Servings,Happiness Score,0.62
North America,Spirit Servings,Happiness Score,-0.29
North America,Wine Servings,Happiness Score,0.54
North America,Alcohol (Litres),Happiness Score,0.27
North America,Happiness Score,Happiness Score,1
Oceania,Income,Income,1
Oceania,Suicide,Income,0.39
Oceania,Employment,Income,-0.17
Oceania,Urban Rate,Income,0.74
Oceania,Beer Servings,Income,0.69
Oceania,Spirit Servings,Income,0.22
Oceania,Wine Servings,Income,0.94
Oceania,Alcohol (Litres),Income,0.84
Oceania,Happiness Score,Income,-0.3
Oceania,Income,Suicide,0.39
Oceania,Suicide,Suicide,1
Oceania,Employment,Suicide,0.53
Oceania,Urban Rate,Suicide,0.3
Oceania,Beer Servings,Suicide,0.2
Oceania,Spirit Servings,Suicide,-0.1
Oceania,Wine Servings,Suicide,0.49
Oceania,Alcohol (Litres),Suicide,0.3
Oceania,Happiness Score,Suicide,0.26
Oceania,Income,Employment,-0.17
Oceania,Suicide,Employment,0.53
Oceania,Employment,Employment,1
Oceania,Urban Rate,Employment,-0.35
Oceania,Beer Servings,Employment,-0.12
Oceania,Spirit Servings,Employment,-0.01
Oceania,Wine Servings,Employment,-0.09
Oceania,Alcohol (Litres),Employment,-0.1
Oceania,Happiness Score,Employment,0.24
Oceania,Income,Urban Rate,0.74
Oceania,Suicide,Urban Rate,0.3
Oceania,Employment,Urban Rate,-0.35
Oceania,Urban Rate,Urban Rate,1
Oceania,Beer Servings,Urban Rate,0.63
Oceania,Spirit Servings,Urban Rate,0.18
Oceania,Wine Servings,Urban Rate,0.65
Oceania,Alcohol (Litres),Urban Rate,0.68
Oceania,Happiness Score,Urban Rate,-0.02
Oceania,Income,Beer Servings,0.69
Oceania,Suicide,Beer Servings,0.2
Oceania,Employment,Beer Servings,-0.12
Oceania,Urban Rate,Beer Servings,0.63
Oceania,Beer Servings,Beer Servings,1
Oceania,Spirit Servings,Beer Servings,0.2
Oceania,Wine Servings,Beer Servings,0.56
Oceania,Alcohol (Litres),Beer Servings,0.83
Oceania,Happiness Score,Beer Servings,-0.11
Oceania,Income,Spirit Servings,0.22
Oceania,Suicide,Spirit Servings,-0.1
Oceania,Employment,Spirit Servings,-0.01
Oceania,Urban Rate,Spirit Servings,0.18
Oceania,Beer Servings,Spirit Servings,0.2
Oceania,Spirit Servings,Spirit Servings,1
Oceania,Wine Servings,Spirit Servings,0.29
Oceania,Alcohol (Litres),Spirit Servings,0.59
Oceania,Happiness Score,Spirit Servings,0.02
Oceania,Income,Wine Servings,0.94
Oceania,Suicide,Wine Servings,0.49
Oceania,Employment,Wine Servings,-0.09
Oceania,Urban Rate,Wine Servings,0.65
Oceania,Beer Servings,Wine Servings,0.56
Oceania,Spirit Servings,Wine Servings,0.29
Oceania,Wine Servings,Wine Servings,1
Oceania,Alcohol (Litres),Wine Servings,0.83
Oceania,Happiness Score,Wine Servings,-0.1
Oceania,Income,Alcohol (Litres),0.84
Oceania,Suicide,Alcohol (Litres),0.3
Oceania,Employment,Alcohol (Litres),-0.1
Oceania,Urban Rate,Alcohol (Litres),0.68
Oceania,Beer Servings,Alcohol (Litres),0.83
Oceania,Spirit Servings,Alcohol (Litres),0.59
Oceania,Wine Servings,Alcohol (Litres),0.83
Oceania,Alcohol (Litres),Alcohol (Litres),1
Oceania,Happiness Score,Alcohol (Litres),-0.06
Oceania,Income,Happiness Score,-0.3
Oceania,Suicide,Happiness Score,0.26
Oceania,Employment,Happiness Score,0.24
Oceania,Urban Rate,Happiness Score,-0.02
Oceania,Beer Servings,Happiness Score,-0.11
Oceania,Spirit Servings,Happiness Score,0.02
Oceania,Wine Servings,Happiness Score,-0.1
Oceania,Alcohol (Litres),Happiness Score,-0.06
Oceania,Happiness Score,Happiness Score,1
South America,Income,Income,1
South America,Suicide,Income,-0.12
South America,Employment,Income,-0.32
South America,Urban Rate,Income,0.76
South America,Beer Servings,Income,0.12
South America,Spirit Servings,Income,-0.5
South America,Wine Servings,Income,0.85
South America,Alcohol (Litres),Income,0.58
South America,Happiness Score,Income,0.62
South America,Income,Suicide,-0.12
South America,Suicide,Suicide,1
South America,Employment,Suicide,-0.54
South America,Urban Rate,Suicide,-0.56
South America,Beer Servings,Suicide,-0.59
South America,Spirit Servings,Suicide,0.69
South America,Wine Servings,Suicide,-0.01
South America,Alcohol (Litres),Suicide,0.16
South America,Happiness Score,Suicide,0.19
South America,Income,Employment,-0.32
South America,Suicide,Employment,-0.54
South America,Employment,Employment,1
South America,Urban Rate,Employment,-0.25
South America,Beer Servings,Employment,0.33
South America,Spirit Servings,Employment,-0.19
South America,Wine Servings,Employment,-0.24
South America,Alcohol (Litres),Employment,-0.17
South America,Happiness Score,Employment,-0.52
South America,Income,Urban Rate,0.76
South America,Suicide,Urban Rate,-0.56
South America,Employment,Urban Rate,-0.25
South America,Urban Rate,Urban Rate,1
South America,Beer Servings,Urban Rate,0.44
South America,Spirit Servings,Urban Rate,-0.67
South America,Wine Servings,Urban Rate,0.51
South America,Alcohol (Litres),Urban Rate,0.27
South America,Happiness Score,Urban Rate,0.47
South America,Income,Beer Servings,0.12
South America,Suicide,Beer Servings,-0.59
South America,Employment,Beer Servings,0.33
South America,Urban Rate,Beer Servings,0.44
South America,Beer Servings,Beer Servings,1
South America,Spirit Servings,Beer Servings,-0.26
South America,Wine Servings,Beer Servings,-0.21
South America,Alcohol (Litres),Beer Servings,0.3
South America,Happiness Score,Beer Servings,-0.09
South America,Income,Spirit Servings,-0.5
South America,Suicide,Spirit Servings,0.69
South America,Employment,Spirit Servings,-0.19
South America,Urban Rate,Spirit Servings,-0.67
South America,Beer Servings,Spirit Servings,-0.26
South America,Spirit Servings,Spirit Servings,1
South America,Wine Servings,Spirit Servings,-0.46
South America,Alcohol (Litres),Spirit Servings,0.2
South America,Happiness Score,Spirit Servings,-0.06
South America,Income,Wine Servings,0.85
South America,Suicide,Wine Servings,-0.01
South America,Employment,Wine Servings,-0.24
South America,Urban Rate,Wine Servings,0.51
South America,Beer Servings,Wine Servings,-0.21
South America,Spirit Servings,Wine Servings,-0.46
South America,Wine Servings,Wine Servings,1
South America,Alcohol (Litres),Wine Servings,0.52
South America,Happiness Score,Wine Servings,0.41
South America,Income,Alcohol (Litres),0.58
South America,Suicide,Alcohol (Litres),0.16
South America,Employment,Alcohol (Litres),-0.17
South America,Urban Rate,Alcohol (Litres),0.27
South America,Beer Servings,Alcohol (Litres),0.3
South America,Spirit Servings,Alcohol (Litres),0.2
South America,Wine Servings,Alcohol (Litres),0.52
South America,Alcohol (Litres),Alcohol (Litres),1
South America,Happiness Score,Alcohol (Litres),0.33
South America,Income,Happiness Score,0.62
South America,Suicide,Happiness Score,0.19
South America,Employment,Happiness Score,-0.52
South America,Urban Rate,Happiness Score,0.47
South America,Beer Servings,Happiness Score,-0.09
South America,Spirit Servings,Happiness Score,-0.06
South America,Wine Servings,Happiness Score,0.41
South America,Alcohol (Litres),Happiness Score,0.33
South America,Happiness Score,Happiness Score,1
